代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,今年 累計 漲跌價,今年 累計 漲跌幅,3個月 累計 漲跌價,3個月 累計 漲跌幅,半年 累計 漲跌價,半年 累計 漲跌幅,1年 累計 漲跌價,1年 累計 漲跌幅,2年 累計 漲跌價,2年 累計 漲跌幅
2409,友達,13.85,1.25,9.92,264403,01/05,1.6,13.1,0.05,0.36,1.35,10.8,-0.45,-3.15,-4.95,-26.3
2412,中華電,133.0,1.0,0.76,12120,01/05,2.5,1.92,0.0,0.0,3.0,2.31,10.5,8.57,13.5,11.3
2451,創見,206.5,3.5,1.72,20601,01/05,10.5,5.36,93.0,81.9,95.5,86.0,120.9,141.0,128.0,163.0
2454,聯發科,1525.0,55.0,3.74,14438,01/05,95.0,6.64,205.0,15.5,245.0,19.1,160.0,11.7,604.0,65.6
2460,建通,24.3,2.2,9.95,3012,01/05,4.2,20.9,6.3,35.0,6.9,39.7,2.5,11.5,-4.4,-15.3
2461,光群雷,16.9,1.5,9.74,2877,01/05,2.0,13.4,0.95,5.96,0.15,0.9,-2.7,-13.8,-5.95,-26.0
2462,良得電,24.4,0.3,1.24,4880,01/05,2.45,11.2,-0.35,-1.41,2.25,10.2,-1.15,-4.5,-13.65,-35.9
2464,盟立,67.0,3.5,5.51,7188,01/05,5.1,8.24,0.8,1.21,11.6,20.9,-15.7,-19.0,31.2,87.2
2467,志聖,279.5,9.5,3.52,6874,01/05,29.0,11.6,88.0,46.0,130.5,87.6,80.5,40.5,212.0,314.0
2489,瑞軒,15.75,0.35,2.27,9144,01/05,0.6,3.96,2.4,18.0,1.75,12.5,-2.65,-14.4,2.2,16.2
2543,皇昌,66.5,6.0,9.92,8948,01/05,6.4,10.6,-6.5,-8.9,-12.7,-16.0,-11.5,-14.7,40.0,151.0
3004,豐達科,112.0,2.0,1.82,2017,01/05,8.5,8.21,-28.0,-20.0,-17.5,-13.5,16.3,17.0,17.0,17.9
3006,晶豪科,139.0,9.5,7.34,53407,01/05,21.0,17.8,56.5,68.5,88.0,173.0,78.0,128.0,44.9,47.7
3016,嘉晶,56.6,1.7,3.1,5249,01/05,5.5,10.8,-0.7,-1.22,24.7,77.4,11.35,25.1,-3.7,-6.14
3037,欣興,230.0,11.0,5.02,49165,01/05,10.0,4.55,74.0,47.4,115.0,100.0,80.5,53.8,70.0,43.8
3057,喬鼎,23.15,2.1,9.98,1814,01/05,2.2,10.5,13.83,148.0,13.19,132.0,11.7,102.0,10.6,84.5
3131,弘塑,1765.0,160.0,9.97,2720,01/05,205.0,13.1,225.0,14.6,155.0,9.63,365.0,26.1,1232.0,231.0
3135,凌航,90.0,1.0,1.12,12330,01/05,0.9,1.01,49.7,123.0,,,,,,
3149,正達,39.55,0.85,2.2,16505,01/05,4.35,12.4,-4.25,-9.7,9.1,29.9,7.85,24.8,15.8,66.5
3189,景碩,168.0,12.0,7.69,46626,01/05,9.0,5.66,56.0,50.0,80.9,92.9,65.0,63.1,70.9,73.0
3236,千如,31.5,1.4,4.65,21901,01/05,3.25,11.5,10.4,49.3,15.4,95.7,10.8,52.2,9.15,40.9
3260,威剛,290.0,9.5,3.39,6943,01/05,10.5,3.76,117.0,67.6,196.0,209.0,212.2,273.0,193.0,199.0
3308,聯德,22.8,0.7,3.17,2606,01/05,2.7,13.4,6.75,42.1,4.85,27.0,-0.4,-1.72,-12.9,-36.1
3312,弘憶股,42.1,3.8,9.92,11103,01/05,7.25,20.8,1.85,4.6,-4.9,-10.4,-11.0,-20.7,18.65,79.5
3349,寶德,32.0,1.2,3.9,671,01/05,1.0,3.23,12.75,66.2,15.8,97.5,15.2,90.5,14.7,85.0
3357,臺慶科,163.0,3.0,1.88,8681,01/05,16.5,11.3,29.0,21.6,69.8,74.9,42.5,35.3,52.0,46.8
3360,尚立,15.75,0.55,3.62,7669,01/05,1.9,13.7,3.15,25.0,4.15,35.8,1.7,12.1,2.55,19.3
3430,奇鈦科,71.5,4.1,6.08,4710,01/05,10.2,16.6,-7.7,-9.72,21.0,41.6,13.2,22.6,21.5,43.0
3438,類比科,58.0,1.6,2.84,999,01/05,2.0,3.57,9.6,19.8,12.2,26.6,-3.8,-6.15,-19.0,-24.7
3443,創意,2320.0,135.0,6.18,4174,01/05,195.0,9.18,945.0,68.7,1060.0,84.1,1050.0,82.7,665.0,40.2
3455,由田,122.0,2.5,2.09,6792,01/05,9.5,8.44,28.9,31.0,35.6,41.2,7.5,6.55,48.1,65.1
