代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持張 ＞600 ≦800 (萬張),＞600 ≦800 增減 (張),＞600 ≦800 增減 (%),持張 ＞800 ≦1千 (萬張),＞800 ≦1千 增減 (張),＞800 ≦1千 增減 (%),持張 ＞1千 (萬張),＞1千 增減 (張),＞1千 增減 (%)
5258,虹堡,66.3,-0.6,-0.9,26W01,01/02,0.41,2.0,0.05,0.55,4.0,0.07,4.38,23.3,0.05
5274,信驊,7255.0,-5.0,-0.07,26W01,01/02,0.08,67.0,9.14,0.19,68.0,3.67,0.75,12.0,0.16
5289,宜鼎,595.0,19.0,3.3,26W01,01/02,0.62,-27.5,-0.44,0.44,-106.0,-2.33,2.8,1428.0,5.37
5306,桂盟,88.6,-2.1,-2.32,26W01,01/02,0.13,0.0,0.0,0.08,0.0,0.0,8.2,23.0,0.03
5314,世紀*,97.8,-0.3,-0.31,26W01,01/02,0.37,-1344.0,-26.8,0.27,-944.0,-26.0,13.8,1228.0,0.89
5321,美而快,37.0,0.85,2.35,26W01,01/02,0.07,0.0,0.0,0.09,0.0,0.0,2.56,19.0,0.07
5324,士開,10.35,0.1,0.98,26W01,01/02,0.55,-776.0,-12.3,0.37,817.0,28.5,15.3,118.0,0.08
5340,建榮,68.2,-1.7,-2.43,26W01,01/02,0.59,420.0,7.68,0.71,13.4,0.19,10.9,668.0,0.61
5355,佳總,7.05,-0.24,-3.29,26W01,01/02,0.42,-46.0,-1.1,0.38,0.0,0.0,10.0,323.0,0.32
5356,協益,24.85,-0.05,-0.2,26W01,01/02,0.23,0.0,0.0,0.08,0.0,0.0,3.94,162.0,0.41
5403,中菲,116.0,0.0,0.0,26W01,01/02,0.35,6.0,0.17,0.37,0.0,0.0,1.97,5.0,0.03
5410,國眾,30.8,0.1,0.33,26W01,01/02,0.13,0.0,0.0,0.35,-4.3,-0.12,2.49,59.0,0.24
5425,台半,51.7,0.1,0.19,26W01,01/02,0.22,106.0,5.0,0.28,40.5,1.49,7.86,171.0,0.22
5426,振發,19.85,0.15,0.76,26W01,01/02,0.29,-517.0,-15.1,0.0,-968.0,-100.0,7.58,1227.0,1.64
5434,崇越,296.5,5.5,1.89,26W01,01/02,0.84,890.0,11.9,0.51,-1664.0,-24.6,7.82,73.0,0.09
5439,高技,309.0,-8.0,-2.52,26W01,01/02,0.51,-1460.0,-22.4,0.36,869.0,32.3,2.86,4.28,0.01
5443,均豪,94.0,8.5,9.94,26W01,01/02,0.08,0.0,0.0,0.08,0.0,0.0,5.34,43.1,0.08
5457,宣德,41.65,0.85,2.08,26W01,01/02,0.34,704.0,26.1,0.27,-804.0,-22.7,8.54,540.0,0.64
5460,同協,15.8,0.05,0.32,26W01,01/02,0.27,8.47,0.31,0.35,15.0,0.43,1.98,100.0,0.51
5483,中美晶,110.5,4.0,3.76,26W01,01/02,1.3,1390.0,12.0,1.17,-4860.0,-29.4,33.5,1960.0,0.59
5487,通泰,30.1,0.2,0.67,26W01,01/02,0.2,-785.0,-27.8,0.27,820.0,42.5,1.14,8.0,0.07
5488,松普,9.7,0.1,1.04,26W01,01/02,0.26,11.0,0.42,0.26,-24.0,-0.9,2.87,37.0,0.13
5489,彩富,40.05,-0.2,-0.5,26W01,01/02,0.0,0.0,,0.0,-944.0,-100.0,8.38,40.0,0.05
5498,凱崴,53.0,2.6,5.16,26W01,01/02,0.13,-1396.0,-51.6,0.17,855.0,97.9,7.1,3382.0,5.0
5511,德昌,65.2,-0.3,-0.46,26W01,01/02,0.21,0.0,0.0,0.54,0.0,0.0,5.75,67.0,0.12
5512,力麒,7.86,-0.04,-0.51,26W01,01/02,1.98,1367.0,7.42,1.22,-1121.0,-8.38,40.5,701.0,0.17
5515,建國,36.05,0.05,0.14,26W01,01/02,0.47,682.0,16.9,0.18,16.7,0.94,12.2,119.0,0.1
5519,隆大,32.75,-0.25,-0.76,26W01,01/02,0.63,2148.0,52.0,0.08,-879.0,-52.2,11.3,75.0,0.07
5522,遠雄,74.1,-2.4,-3.14,26W01,01/02,0.56,1342.0,31.3,0.43,-1823.0,-30.0,68.4,1600.0,0.23
5529,鉅陞,29.1,-1.1,-3.64,26W01,01/02,0.15,0.0,0.0,0.17,-985.0,-36.6,6.89,1176.0,1.74
5536,聖暉*,762.0,-19.0,-2.43,26W01,01/02,0.58,631.0,12.2,0.45,-1629.0,-26.7,4.3,1483.0,3.57
5543,桓鼎-KY,28.9,-0.5,-1.7,26W01,01/02,0.41,0.0,0.0,0.36,0.0,0.0,2.07,14.0,0.07
5607,遠雄港,48.75,0.35,0.72,26W01,01/02,0.28,-1255.0,-31.2,0.54,0.0,0.0,25.3,120.0,0.05
5608,四維航,17.55,-0.05,-0.28,26W01,01/02,0.33,-2031.0,-37.8,0.79,1804.0,29.4,9.01,193.0,0.21
5609,中菲行,79.8,-0.2,-0.25,26W01,01/02,0.53,0.0,0.0,0.09,0.14,0.02,6.56,105.0,0.16
5706,鳳凰,50.8,0.2,0.4,26W01,01/02,0.07,0.0,0.0,0.08,-41.0,-4.86,2.94,18.0,0.06
5902,德記,44.75,0.2,0.45,26W01,01/02,0.07,0.0,0.0,0.28,0.0,0.0,7.42,12.0,0.02
5904,寶雅,446.0,6.5,1.48,26W01,01/02,0.45,0.0,0.0,0.64,11.0,0.17,5.64,8.0,0.01
5905,南仁湖,9.11,0.0,0.0,26W01,01/02,0.48,37.0,0.77,0.27,-1958.0,-41.9,12.5,1767.0,1.44
6015,宏遠證,10.8,0.05,0.47,26W01,01/02,0.37,854.0,29.7,0.44,-842.0,-16.0,15.8,28.0,0.02
6023,元大期,96.4,-1.1,-1.13,26W01,01/02,0.07,-2.0,-0.28,0.09,-915.0,-49.4,27.3,1582.0,0.58
6108,競國,14.45,0.1,0.7,26W01,01/02,0.56,-1.0,-0.02,0.0,0.0,,6.86,170.0,0.25
6109,亞元,11.9,0.05,0.42,26W01,01/02,0.12,5.0,0.41,0.45,0.0,0.0,2.15,3.0,0.01
6111,大宇資,49.0,0.3,0.62,26W01,01/02,0.08,0.0,0.0,0.18,0.0,0.0,3.74,68.9,0.18
6112,邁達特,47.6,1.55,3.37,26W01,01/02,0.13,0.0,0.0,0.19,0.0,0.0,10.5,38.6,0.04
6115,鎰勝,46.8,-0.4,-0.85,26W01,01/02,0.21,0.0,0.0,0.56,0.0,0.0,10.4,13.0,0.01
6120,達運,12.15,0.0,0.0,26W01,01/02,0.85,1508.0,21.6,0.8,-912.0,-10.2,31.6,1180.0,0.37
6122,擎邦,50.4,1.05,2.13,26W01,01/02,0.49,642.0,15.2,0.18,0.0,0.0,1.61,4.0,0.02
6123,上奇,47.7,-0.3,-0.62,26W01,01/02,0.07,-30.0,-4.01,0.1,0.0,0.0,2.07,4.0,0.02
6126,信音,31.8,1.05,3.41,26W01,01/02,0.61,1309.0,27.5,0.08,-1000.0,-55.1,3.82,992.0,2.67
6134,萬旭,26.95,0.1,0.37,26W01,01/02,0.07,0.0,0.0,0.19,57.0,3.13,3.86,85.0,0.22
6136,富爾特,24.25,0.05,0.21,26W01,01/02,0.52,-656.0,-11.2,0.36,-860.0,-19.3,3.47,1471.0,4.42
6141,柏承,10.5,-0.1,-0.94,26W01,01/02,0.13,0.0,0.0,0.38,0.0,0.0,4.37,5.0,0.01
6142,友勁,9.07,-0.07,-0.77,26W01,01/02,0.55,-647.0,-10.5,0.53,-91.0,-1.69,16.4,214.0,0.13
6143,振曜,121.5,0.0,0.0,26W01,01/02,0.28,54.9,1.98,0.37,-805.0,-18.0,2.99,1260.0,4.4
