代號,名稱,市 場,股價 日期,成交,漲跌 價,漲跌 幅,成交 張數,營收 月份,單月 營收 (億),單月 營收 歷月 排名,單月 營收 創紀錄 月數,單月 營收 連增減 月數,單月 營收 歷年 排名,單月 營收 創紀錄 年數,累月 營收 (億),累月 營收 歷年 排名,累月 營收 創紀錄 年數,累月 營收 連增減 年數
7751,竑騰,櫃,01/05,752.0,-8.0,-1.05,382,25M11,1.75,3,3個月低,4增→減,1.0,nan,16.7,1.0,nan,連2增
7769,鴻勁,市,01/05,3340.0,-90.0,-2.62,897,25M11,30.3,1,17個月高,連15增,1.0,nan,269.0,1.0,nan,連2增
7777,能率亞洲,櫃,01/05,25.2,-1.95,-7.18,2057,25M11,0.51,3,3個月高,2減→增,1.0,nan,0.53,1.0,nan,nan
7780,大研生醫,市,01/05,179.0,-10.5,-5.54,745,25M11,3.37,1,14個月高,nan,1.0,nan,17.1,1.0,nan,連2增
7799,禾榮科,市,01/05,405.0,-40.0,-8.99,1312,25M11,0.01,2,nan,nan,1.0,nan,0.08,1.0,nan,nan
7805,威聯通,櫃,01/05,689.0,-44.0,-6.0,355,25M11,5.97,1,13個月高,連3增,1.0,nan,57.4,1.0,nan,連2增
7810,捷創科技,櫃,01/05,304.5,-33.5,-9.91,1521,25M11,0.86,1,12個月高,nan,,nan,4.94,,nan,nan
8021,尖點,市,01/05,181.0,-8.5,-4.49,19549,25M11,4.38,1,287個月高,連10增,1.0,24年高,39.4,1.0,24年高,連2增
8027,鈦昇,櫃,01/05,112.0,-1.0,-0.88,5427,25M12,4.19,3,44個月高,連2增,1.0,24年高,18.1,6.0,3年高,連2增
8054,安國,櫃,01/05,126.5,-12.0,-8.66,8869,25M11,3.9,1,287個月高,nan,1.0,24年高,24.9,4.0,11年高,連5增
8099,大世科,櫃,01/05,70.5,-1.8,-2.49,529,25M11,5.22,3,3個月高,2減→增,1.0,24年高,43.3,1.0,24年高,2減→增
8112,至上,市,01/05,76.5,0.1,0.13,38106,25M11,254.0,1,287個月高,nan,1.0,24年高,1992.0,2.0,nan,nan
8121,越峰,櫃,01/05,29.05,-0.3,-1.02,677,25M11,3.03,1,275個月高,nan,1.0,23年高,27.7,4.0,nan,nan
8155,博智,櫃,01/05,167.0,-1.0,-0.6,1138,25M11,4.47,1,176個月高,連4增,1.0,15年高,44.5,1.0,15年高,連2增
8210,勤誠,市,01/05,957.0,3.0,0.31,1764,25M11,20.4,2,nan,nan,1.0,23年高,193.0,1.0,23年高,連2增
8227,巨有科技,櫃,01/05,139.0,-4.0,-2.8,559,25M11,2.15,1,135個月高,nan,1.0,23年高,12.3,1.0,23年高,nan
8284,三竹,櫃,01/05,63.2,0.0,0.0,27,25M11,2.68,1,281個月高,連3增,1.0,24年高,26.8,1.0,24年高,連20增
8299,群聯,櫃,01/05,1470.0,25.0,1.73,8461,25M11,70.2,2,nan,3增→減,1.0,24年高,640.0,1.0,24年高,連2增
8454,富邦媒,市,01/05,203.0,-3.0,-1.46,630,25M11,147.0,3,12個月高,2減→增,3.0,3年低,995.0,3.0,3年低,11增→減
8462,柏文,市,01/05,148.0,0.5,0.34,137,25M11,5.38,2,nan,9增→減,1.0,12年高,55.1,1.0,12年高,連4增
8489,三貝德,櫃,01/05,40.15,0.1,0.25,74,25M11,1.66,1,121個月高,連2增,1.0,11年高,12.6,4.0,5年高,連3增
8499,鼎炫-KY,市,01/05,321.0,-9.5,-2.87,251,25M11,3.95,1,98個月高,nan,1.0,9年高,25.3,1.0,9年高,連2增
8927,北基,櫃,01/05,23.8,-0.6,-2.46,1171,25M11,13.0,3,17個月高,連3增,1.0,28年高,98.9,2.0,nan,4增→減
8996,高力,市,01/05,578.0,9.0,1.58,4427,25M11,6.82,1,275個月高,連3增,1.0,23年高,56.4,1.0,23年高,nan
9917,中保科,市,01/05,108.5,0.5,0.46,460,25M11,16.6,2,11個月高,nan,1.0,29年高,173.0,1.0,29年高,連8增
9945,潤泰新,市,01/05,29.55,-0.15,-0.51,14275,25M11,38.1,2,35個月高,nan,1.0,29年高,318.0,1.0,29年高,連2增
